Monitoring Stations,Month,Year,pH (units),Ammonia (mg/L),Nitrate (mg/L),Inorganic Phosphate (mg/L),BOD (mg/l),Dissolved Oxygen (mg/l),Total coliforms (MPN/100ml),Phytoplankton (cells/ml),Wind,Condition,Day,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip.,Date
Stn. I (Central West Bay),1,2013,,,,,1.0,6.8,194.0,5552.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn II (East Bay),1,2013,,,,,1.0,7.8,320.0,17142.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn. IV (Central Bay),1,2013,,,,,2.0,7.4,281.0,5222.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn V (Northern West Bay),1,2013,,,,,1.0,7.0,219.0,4294.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn VIII (South Bay),1,2013,,,,,1.0,7.8,208.0,20885.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn XV (San Pedro),1,2013,,,,,1.0,7.5,926.0,5733.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn.XVI (Sta Rosa),1,2013,,,,,2.0,7.5,550.0,18190.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn XVII (Sanctuary),1,2013,,,,,2.0,7.6,149.0,16268.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn XVIII (Pagsanjan),1,2013,,,,,2.0,8.0,296.0,24189.0,1.0,2.0,14,650.0,25.875,21.45833333333333,72.5,14.083333333333334,1.7083333333333333,1008.0791666666668,0.0,2013-01-14
Stn. I (Central West Bay),2,2013,,,,,2.0,8.0,112.0,8422.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.130434782608692,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn II (East Bay),2,2013,,,,,2.0,8.4,232.0,11706.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.130434782608692,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
