Temperature,Humidity,Wind Speed,pH (units),Ammonia (mg/L),Inorganic Phosphate (mg/L),BOD (mg/l),Total coliforms (MPN/100ml),Phytoplankton (cells/ml),Date,Monitoring Stations
32.6,92,7.3,8.274959716771926,0.17768567496394877,0.1484904506269953,2.104849297569891,111.48628201310314,106440.4765625,09/23/2024,Stn. I (Central West Bay)
32.6,92,7.3,8.50915261239092,0.018409723414963632,0.2045180544881851,2.1795865814009936,54.00741263675589,54463.015625,09/23/2024,Stn V (Northern West Bay)
32.6,92,7.3,8.878642861983112,0.27042570634114277,0.2576867366126627,2.010537160122012,39.154968360134184,89413.5859375,09/23/2024,Stn XIII (Taytay)
32.6,92,7.3,8.300686948200251,0.038170014351857254,0.19159499258029675,2.4322458696151203,209.04159291245017,58844.41015625,09/23/2024,Stn XV (San Pedro)
32.6,92,7.3,8.144314357100498,0.016726426607934806,0.21618557244517608,2.2808746545146654,471.9507892781676,30137.25,09/23/2024,Stn.XVI (Sta Rosa)
32.6,92,7.3,8.987853866956884,0.05420445658213964,0.09865541416644195,1.3053232806165576,35604.5529000041,83167.8046875,09/23/2024,Stn XIX (Muntinlupa)
33.3,89,17.9,8.274959716771926,0.17768567496394877,0.1484904506269953,2.104849297569891,111.48628201310314,83117.9765625,09/19/2024,Stn. I (Central West Bay)
33.3,89,17.9,8.50915261239092,0.018409723414963632,0.2045180544881851,2.1795865814009936,54.00741263675589,42597.7734375,09/19/2024,Stn V (Northern West Bay)
33.3,89,17.9,8.878642861983112,0.27042570634114277,0.2576867366126627,2.010537160122012,39.154968360134184,56897.62890625,09/19/2024,Stn XIII (Taytay)
33.3,89,17.9,8.300686948200251,0.038170014351857254,0.19159499258029675,2.4322458696151203,209.04159291245017,8667.7998046875,09/19/2024,Stn XV (San Pedro)
33.3,89,17.9,8.144314357100498,0.016726426607934806,0.21618557244517608,2.2808746545146654,471.9507892781676,7419.30224609375,09/19/2024,Stn.XVI (Sta Rosa)
33.3,89,17.9,8.987853866956884,0.05420445658213964,0.09865541416644195,1.3053232806165576,35604.5529000041,29917.787109375,09/19/2024,Stn XIX (Muntinlupa)
29.3,91,6.4,8.274959716771926,0.17768567496394877,0.1484904506269953,2.104849297569891,111.48628201310314,89738.078125,09/21/2024,Stn. I (Central West Bay)
29.3,91,6.4,8.50915261239092,0.018409723414963632,0.2045180544881851,2.1795865814009936,54.00741263675589,44422.3359375,09/21/2024,Stn V (Northern West Bay)
29.3,91,6.4,8.878642861983112,0.27042570634114277,0.2576867366126627,2.010537160122012,39.154968360134184,88835.1640625,09/21/2024,Stn XIII (Taytay)
29.3,91,6.4,8.300686948200251,0.038170014351857254,0.19159499258029675,2.4322458696151203,209.04159291245017,13474.517578125,09/21/2024,Stn XV (San Pedro)
29.3,91,6.4,8.144314357100498,0.016726426607934806,0.21618557244517608,2.2808746545146654,471.9507892781676,-13727.3125,09/21/2024,Stn.XVI (Sta Rosa)
29.3,91,6.4,8.987853866956884,0.05420445658213964,0.09865541416644195,1.3053232806165576,35604.5529000041,58833.92578125,09/21/2024,Stn XIX (Muntinlupa)
